"peaks1"	"seqnames"	"start"	"end"	"width"	"strand"	"peakNames"	"peaks2"	"seqnames"	"start"	"end"	"width"	"strand"	"score"	"signalValue"	"pValue"	"qValue"	"peak"	"overlapFeature"	"shortestDistance"
"019"	"10"	102319665	102320002	338	"*"	LH20_HO1_ol_merged__036	"GroupB_HO1_GroupA_LH20_peak_134"	"10"	102319665	102319899	235	"*"	67	3.27616	6.75597	2.21533	159	"includeFeature"	0
"020"	"10"	121711389	121711899	511	"*"	LH20_HO1_ol_merged__039	"GroupB_HO1_GroupA_LH20_peak_143"	"10"	121711389	121711639	251	"*"	79	3.10083	7.90263	3.27218	116	"includeFeature"	0
"021"	"10"	128493404	128493736	333	"*"	LH20_HO1_ol_merged__041	"GroupB_HO1_GroupA_LH20_peak_148"	"10"	128493404	128493690	287	"*"	42	2.64695	4.27282	0.24541	78	"includeFeature"	0
"022"	"11"	16567706	16568188	483	"*"	LH20_HO1_ol_merged__042	"GroupB_HO1_GroupA_LH20_peak_156"	"11"	16567706	16568188	483	"*"	104	4.20398	10.47593	5.74226	335	"overlap"	0
"023"	"11"	38249549	38250336	788	"*"	LH20_HO1_ol_merged__045	"GroupB_HO1_GroupA_LH20_peak_161"	"11"	38249549	38249880	332	"*"	44	2.33633	4.41089	0.34978	143	"includeFeature"	0
"024"	"11"	48470331	48470737	407	"*"	LH20_HO1_ol_merged__046	"GroupB_HO1_GroupA_LH20_peak_166"	"11"	48470338	48470737	400	"*"	50	2.55606	5.09295	0.83441	188	"overlapStart"	0
"025"	"11"	55666513	55667023	511	"*"	LH20_HO1_ol_merged__047	"GroupB_HO1_GroupA_LH20_peak_171"	"11"	55666521	55667023	503	"*"	42	2.47991	4.29881	0.26089	77	"overlapStart"	0
"026"	"11"	69118484	69119188	705	"*"	LH20_HO1_ol_merged__048	"GroupB_HO1_GroupA_LH20_peak_180"	"11"	69118665	69119011	347	"*"	40	2.50637	4.0847	0.17902	15	"includeFeature"	177
"027"	"11"	76243861	76244559	699	"*"	LH20_HO1_ol_merged__050	"GroupB_HO1_GroupA_LH20_peak_185"	"11"	76244022	76244559	538	"*"	42	2.64695	4.27282	0.24541	208	"overlapStart"	0
"028"	"11"	79704029	79705113	1085	"*"	LH20_HO1_ol_merged__051	"GroupB_HO1_GroupA_LH20_peak_190"	"11"	79704029	79705113	1085	"*"	69	3.05654	6.96514	2.40645	267	"overlap"	0
"029"	"11"	87470801	87471639	839	"*"	LH20_HO1_ol_merged__056	"GroupB_HO1_GroupA_LH20_peak_207"	"11"	87471167	87471605	439	"*"	102	3.99946	10.20043	5.47442	105	"includeFeature"	34
"030"	"11"	95384647	95384932	286	"*"	LH20_HO1_ol_merged__057	"GroupB_HO1_GroupA_LH20_peak_222"	"11"	95384699	95384932	234	"*"	97	3.58205	9.72073	5.01133	119	"overlapStart"	0
"031"	"11"	97309676	97310146	471	"*"	LH20_HO1_ol_merged__058	"GroupB_HO1_GroupA_LH20_peak_230"	"11"	97309756	97310112	357	"*"	54	2.93374	5.47999	1.11904	113	"includeFeature"	34
"032"	"11"	100320562	100321333	772	"*"	LH20_HO1_ol_merged__059	"GroupB_HO1_GroupA_LH20_peak_245"	"11"	100320562	100321031	470	"*"	35	2.23363	3.51414	0	363	"includeFeature"	0
"033"	"11"	101442400	101442831	432	"*"	LH20_HO1_ol_merged__060	"GroupB_HO1_GroupA_LH20_peak_251"	"11"	101442482	101442831	350	"*"	53	2.53102	5.30664	1.00789	274	"overlapStart"	0
"034"	"11"	101562575	101563149	575	"*"	LH20_HO1_ol_merged__061	"GroupB_HO1_GroupA_LH20_peak_252"	"11"	101562604	101563149	546	"*"	32	2.23002	3.27681	0	239	"overlapStart"	0
"035"	"11"	101644624	101645394	771	"*"	LH20_HO1_ol_merged__063	"GroupB_HO1_GroupA_LH20_peak_256"	"11"	101644863	101645394	532	"*"	72	3.28447	7.21144	2.62947	433	"overlapStart"	0
"036"	"11"	101658077	101658588	512	"*"	LH20_HO1_ol_merged__065	"GroupB_HO1_GroupA_LH20_peak_258"	"11"	101658116	101658469	354	"*"	91	3.56986	9.1956	4.50283	140	"includeFeature"	39
"037"	"11"	102604870	102605307	438	"*"	LH20_HO1_ol_merged__066	"GroupB_HO1_GroupA_LH20_peak_262"	"11"	102604887	102605249	363	"*"	49	2.57044	4.98764	0.7503	236	"includeFeature"	17
"038"	"11"	106779272	106779947	676	"*"	LH20_HO1_ol_merged__067	"GroupB_HO1_GroupA_LH20_peak_277"	"11"	106779272	106779664	393	"*"	56	2.3946	5.64146	1.25457	132	"includeFeature"	0
"039"	"11"	106786919	106787225	307	"*"	LH20_HO1_ol_merged__068	"GroupB_HO1_GroupA_LH20_peak_278"	"11"	106786922	106787225	304	"*"	47	2.64829	4.74539	0.59658	139	"overlapStart"	0
"040"	"11"	106987874	106988610	737	"*"	LH20_HO1_ol_merged__069	"GroupB_HO1_GroupA_LH20_peak_281"	"11"	106987874	106988566	693	"*"	41	2.34306	4.18041	0.24541	497	"includeFeature"	0
"041"	"11"	115412918	115413738	821	"*"	LH20_HO1_ol_merged__070	"GroupB_HO1_GroupA_LH20_peak_292"	"11"	115412918	115413533	616	"*"	63	2.91279	6.34084	1.84881	111	"includeFeature"	0
"042"	"11"	116023431	116024492	1062	"*"	LH20_HO1_ol_merged__071	"GroupB_HO1_GroupA_LH20_peak_294"	"11"	116023431	116024352	922	"*"	72	2.87104	7.28915	2.70234	384	"includeFeature"	0
"043"	"11"	120484288	120484881	594	"*"	LH20_HO1_ol_merged__072	"GroupB_HO1_GroupA_LH20_peak_307"	"11"	120484374	120484881	508	"*"	61	2.6951	6.16137	1.69107	440	"overlapStart"	0
"044"	"11"	120800055	120800441	387	"*"	LH20_HO1_ol_merged__073	"GroupB_HO1_GroupA_LH20_peak_310"	"11"	120800145	120800416	272	"*"	35	2.34616	3.55915	0	244	"includeFeature"	25
"045"	"11"	121354131	121354492	362	"*"	LH20_HO1_ol_merged__074	"GroupB_HO1_GroupA_LH20_peak_313"	"11"	121354131	121354442	312	"*"	62	3.01699	6.26615	1.78227	94	"includeFeature"	0
"046"	"12"	21070881	21071499	619	"*"	LH20_HO1_ol_merged__076	"GroupB_HO1_GroupA_LH20_peak_320"	"12"	21070881	21071135	255	"*"	48	2.80265	4.80297	0.59658	107	"includeFeature"	0
"047"	"12"	23463219	23463713	495	"*"	LH20_HO1_ol_merged__077	"GroupB_HO1_GroupA_LH20_peak_323"	"12"	23463306	23463713	408	"*"	42	2.24102	4.22431	0.24541	124	"overlapStart"	0
"048"	"12"	43345678	43346345	668	"*"	LH20_HO1_ol_merged__079	"GroupB_HO1_GroupA_LH20_peak_332"	"12"	43346091	43346345	255	"*"	34	2.09698	3.44829	0	222	"overlapStart"	0
"049"	"12"	51377486	51377886	401	"*"	LH20_HO1_ol_merged__081	"GroupB_HO1_GroupA_LH20_peak_338"	"12"	51377486	51377791	306	"*"	65	3.26976	6.52413	2.00383	142	"includeFeature"	0
"050"	"12"	54696635	54697014	380	"*"	LH20_HO1_ol_merged__082	"GroupB_HO1_GroupA_LH20_peak_342"	"12"	54696659	54696896	238	"*"	71	3.42546	7.13821	2.56134	164	"includeFeature"	24
"051"	"12"	54710132	54711207	1076	"*"	LH20_HO1_ol_merged__083	"GroupB_HO1_GroupA_LH20_peak_343"	"12"	54710132	54711207	1076	"*"	119	4.51538	11.92381	7.15115	340	"overlap"	0
"052"	"12"	54738370	54738908	539	"*"	LH20_HO1_ol_merged__084	"GroupB_HO1_GroupA_LH20_peak_344"	"12"	54738370	54738908	539	"*"	134	4.82679	13.42972	8.62744	186	"overlap"	0
"053"	"12"	79123689	79124048	360	"*"	LH20_HO1_ol_merged__086	"GroupB_HO1_GroupA_LH20_peak_352"	"12"	79123689	79124029	341	"*"	71	3.42546	7.13821	2.56134	211	"includeFeature"	0
"054"	"12"	97061442	97061786	345	"*"	LH20_HO1_ol_merged__087	"GroupB_HO1_GroupA_LH20_peak_355"	"12"	97061442	97061786	345	"*"	268	4.62134	26.88491	21.96937	111	"overlap"	0
"055"	"12"	120028706	120028965	260	"*"	LH20_HO1_ol_merged__088	"GroupB_HO1_GroupA_LH20_peak_374"	"12"	120028712	120028965	254	"*"	2315	2.14439	231.53494	225.66818	122	"overlapStart"	0
"056"	"13"	23555156	23555674	519	"*"	LH20_HO1_ol_merged__091	"GroupB_HO1_GroupA_LH20_peak_390"	"13"	23555156	23555506	351	"*"	52	2.72791	5.28269	0.98763	294	"includeFeature"	0
"057"	"13"	23621847	23622541	695	"*"	LH20_HO1_ol_merged__092	"GroupB_HO1_GroupA_LH20_peak_392"	"13"	23621931	23622227	297	"*"	56	2.6447	5.67598	1.28524	163	"includeFeature"	84
"058"	"13"	66122165	66122925	761	"*"	LH20_HO1_ol_merged__094	"GroupB_HO1_GroupA_LH20_peak_411"	"13"	66122437	66122925	489	"*"	67	3.10248	6.70253	2.16769	428	"overlapStart"	0
"059"	"13"	66433159	66433777	619	"*"	LH20_HO1_ol_merged__095	"GroupB_HO1_GroupA_LH20_peak_412"	"13"	66433159	66433777	619	"*"	88	2.56497	8.82333	4.14641	403	"overlap"	0
"060"	"14"	3002280	3002830	551	"*"	LH20_HO1_ol_merged__099	"GroupB_HO1_GroupA_LH20_peak_427"	"14"	3002481	3002830	350	"*"	45	1.98916	4.52206	0.43193	313	"overlapStart"	0
"061"	"14"	3826046	3826582	537	"*"	LH20_HO1_ol_merged__100	"GroupB_HO1_GroupA_LH20_peak_430"	"14"	3826292	3826582	291	"*"	44	2.51893	4.40317	0.34756	103	"overlapStart"	0
"062"	"14"	5073269	5073629	361	"*"	LH20_HO1_ol_merged__102	"GroupB_HO1_GroupA_LH20_peak_439"	"14"	5073384	5073629	246	"*"	62	2.72571	6.26524	1.78227	47	"overlapStart"	0
"063"	"14"	43630457	43630996	540	"*"	LH20_HO1_ol_merged__104	"GroupB_HO1_GroupA_LH20_peak_497"	"14"	43630457	43630956	500	"*"	43	2.11056	4.39724	0.34299	445	"includeFeature"	0
"064"	"14"	50807454	50807757	304	"*"	LH20_HO1_ol_merged__105	"GroupB_HO1_GroupA_LH20_peak_507"	"14"	50807454	50807710	257	"*"	55	2.10494	5.56861	1.19369	204	"includeFeature"	0
"065"	"14"	51063802	51066022	2221	"*"	LH20_HO1_ol_merged__106	"GroupB_HO1_GroupA_LH20_peak_508"	"14"	51064262	51066022	1761	"*"	99	3.8988	9.91471	5.19685	376	"overlapStart"	0
"066"	"14"	51408829	51409152	324	"*"	LH20_HO1_ol_merged__107	"GroupB_HO1_GroupA_LH20_peak_509"	"14"	51408829	51409152	324	"*"	50	2.81893	5.01464	0.76813	164	"overlap"	0
"067"	"14"	55681359	55681955	597	"*"	LH20_HO1_ol_merged__108	"GroupB_HO1_GroupA_LH20_peak_523"	"14"	55681359	55681955	597	"*"	74	3.22389	7.46733	2.86643	287	"overlap"	0
"068"	"14"	74732424	74733073	650	"*"	LH20_HO1_ol_merged__109	"GroupB_HO1_GroupA_LH20_peak_552"	"14"	74732683	74733073	391	"*"	48	2.74594	4.83362	0.6225	113	"overlapStart"	0
"069"	"14"	75820417	75820767	351	"*"	LH20_HO1_ol_merged__110	"GroupB_HO1_GroupA_LH20_peak_554"	"14"	75820456	75820767	312	"*"	67	2.82306	6.76684	2.225	71	"overlapStart"	0
"070"	"15"	41246199	41246727	529	"*"	LH20_HO1_ol_merged__115	"GroupB_HO1_GroupA_LH20_peak_577"	"15"	41246309	41246727	419	"*"	59	3.11406	5.92962	1.48513	102	"overlapStart"	0
"071"	"15"	80082851	80083266	416	"*"	LH20_HO1_ol_merged__116	"GroupB_HO1_GroupA_LH20_peak_585"	"15"	80082866	80083266	401	"*"	65	3.26976	6.52413	2.00383	303	"overlapStart"	0
"072"	"16"	3122121	3123310	1190	"*"	LH20_HO1_ol_merged__117	"GroupB_HO1_GroupA_LH20_peak_592"	"16"	3122902	3123310	409	"*"	34	1.55411	3.49305	0	355	"overlapStart"	0
"073"	"16"	18247841	18248671	831	"*"	LH20_HO1_ol_merged__120	"GroupB_HO1_GroupA_LH20_peak_616"	"16"	18247841	18248671	831	"*"	62	3.02509	6.2886	1.80195	673	"overlap"	0
"074"	"16"	20141202	20141515	314	"*"	LH20_HO1_ol_merged__121	"GroupB_HO1_GroupA_LH20_peak_620"	"16"	20141202	20141515	314	"*"	44	2.67057	4.48613	0.40489	196	"overlap"	0
"075"	"16"	23107689	23109914	2226	"*"	LH20_HO1_ol_merged__122	"GroupB_HO1_GroupA_LH20_peak_626"	"16"	23107705	23109216	1512	"*"	59	2.59958	5.98648	1.53521	810	"includeFeature"	16
"076"	"16"	29579303	29580095	793	"*"	LH20_HO1_ol_merged__123	"GroupB_HO1_GroupA_LH20_peak_633"	"16"	29579306	29579554	249	"*"	52	2.91811	5.25781	0.96835	62	"includeFeature"	3
"077"	"16"	30188380	30189048	669	"*"	LH20_HO1_ol_merged__124	"GroupB_HO1_GroupA_LH20_peak_635"	"16"	30188609	30189048	440	"*"	37	2.14671	3.70278	0	20	"overlapStart"	0
"078"	"16"	70272993	70273283	291	"*"	LH20_HO1_ol_merged__125	"GroupB_HO1_GroupA_LH20_peak_666"	"16"	70273001	70273259	259	"*"	39	2.35119	3.95088	0.09209	24	"includeFeature"	8
"079"	"16"	84704008	84704872	865	"*"	LH20_HO1_ol_merged__126	"GroupB_HO1_GroupA_LH20_peak_671"	"16"	84704055	84704801	747	"*"	53	2.95835	5.35558	1.01218	400	"includeFeature"	47
"080"	"17"	9030870	9031183	314	"*"	LH20_HO1_ol_merged__127	"GroupB_HO1_GroupA_LH20_peak_688"	"17"	9030870	9031181	312	"*"	121	2.30979	12.16405	7.38633	234	"includeFeature"	0
"081"	"17"	33684809	33685378	570	"*"	LH20_HO1_ol_merged__128	"GroupB_HO1_GroupA_LH20_peak_697"	"17"	33684809	33685354	546	"*"	48	2.80265	4.80297	0.59658	94	"includeFeature"	0
"082"	"17"	37296169	37296660	492	"*"	LH20_HO1_ol_merged__129	"GroupB_HO1_GroupA_LH20_peak_707"	"17"	37296240	37296609	370	"*"	61	3.11566	6.13477	1.66697	104	"includeFeature"	51
"083"	"17"	56613433	56614174	742	"*"	LH20_HO1_ol_merged__131	"GroupB_HO1_GroupA_LH20_peak_711"	"17"	56613433	56613687	255	"*"	56	3.01963	5.69553	1.30278	129	"includeFeature"	0
"084"	"17"	63558284	63558699	416	"*"	LH20_HO1_ol_merged__132	"GroupB_HO1_GroupA_LH20_peak_713"	"17"	63558406	63558663	258	"*"	31	2.04428	3.19514	0	159	"includeFeature"	36
"085"	"18"	4196528	4197579	1052	"*"	LH20_HO1_ol_merged__134	"GroupB_HO1_GroupA_LH20_peak_720"	"18"	4196623	4196924	302	"*"	32	1.51355	3.23674	0	299	"includeFeature"	95
"086"	"18"	42558267	42558723	457	"*"	LH20_HO1_ol_merged__135	"GroupB_HO1_GroupA_LH20_peak_724"	"18"	42558267	42558723	457	"*"	82	3.15329	8.28555	3.63398	28	"overlap"	0
"087"	"18"	90602238	90602587	350	"*"	LH20_HO1_ol_merged__136	"GroupB_HO1_GroupA_LH20_peak_732"	"18"	90602238	90602587	350	"*"	1122	2.11147	112.21746	107.00064	191	"overlap"	0
"088"	"19"	5798021	5798960	940	"*"	LH20_HO1_ol_merged__137	"GroupB_HO1_GroupA_LH20_peak_734"	"19"	5798296	5798960	665	"*"	65	3.26976	6.52413	2.00383	413	"overlapStart"	0
"089"	"19"	5945960	5946292	333	"*"	LH20_HO1_ol_merged__139	"GroupB_HO1_GroupA_LH20_peak_740"	"19"	5946053	5946292	240	"*"	32	2.33554	3.28464	0	75	"overlapStart"	0
"090"	"19"	45074669	45075070	402	"*"	LH20_HO1_ol_merged__140	"GroupB_HO1_GroupA_LH20_peak_749"	"19"	45074690	45074955	266	"*"	66	3.07007	6.61053	2.08355	121	"includeFeature"	21
"091"	"19"	45748831	45749696	866	"*"	LH20_HO1_ol_merged__141	"GroupB_HO1_GroupA_LH20_peak_751"	"19"	45749257	45749696	440	"*"	71	2.98207	7.11705	2.54848	127	"overlapStart"	0
"092"	"2"	32966427	32967184	758	"*"	LH20_HO1_ol_merged__143	"GroupB_HO1_GroupA_LH20_peak_766"	"2"	32966629	32967184	556	"*"	53	2.95835	5.35558	1.01218	60	"overlapStart"	0
"093"	"2"	75669135	75670753	1619	"*"	LH20_HO1_ol_merged__145	"GroupB_HO1_GroupA_LH20_peak_773"	"2"	75669508	75670753	1246	"*"	84	3.73687	8.42194	3.76193	162	"overlapStart"	0
"094"	"2"	151160975	151161405	431	"*"	LH20_HO1_ol_merged__150	"GroupB_HO1_GroupA_LH20_peak_793"	"2"	151160975	151161242	268	"*"	76	3.08858	7.66131	3.04893	107	"includeFeature"	0
"095"	"2"	182012782	182013163	382	"*"	LH20_HO1_ol_merged__151	"GroupB_HO1_GroupA_LH20_peak_806"	"2"	182012782	182013163	382	"*"	558	2.09245	55.88187	50.85701	290	"overlap"	0
"096"	"3"	80014355	80015011	657	"*"	LH20_HO1_ol_merged__155	"GroupB_HO1_GroupA_LH20_peak_819"	"3"	80014355	80014634	280	"*"	52	2.13737	5.22582	0.94035	202	"includeFeature"	0
"097"	"3"	96219950	96220575	626	"*"	LH20_HO1_ol_merged__157	"GroupB_HO1_GroupA_LH20_peak_831"	"3"	96220096	96220481	386	"*"	77	3.58117	7.77107	3.148	276	"includeFeature"	94
"098"	"3"	96239570	96240326	757	"*"	LH20_HO1_ol_merged__158	"GroupB_HO1_GroupA_LH20_peak_832"	"3"	96239608	96240326	719	"*"	41	2.16341	4.18137	0.24541	97	"overlapStart"	0
"099"	"3"	96488596	96488963	368	"*"	LH20_HO1_ol_merged__159	"GroupB_HO1_GroupA_LH20_peak_834"	"3"	96488596	96488947	352	"*"	65	3.26976	6.52413	2.00383	130	"includeFeature"	0
"100"	"3"	121427153	121427660	508	"*"	LH20_HO1_ol_merged__160	"GroupB_HO1_GroupA_LH20_peak_836"	"3"	121427153	121427660	508	"*"	53	2.95835	5.35558	1.01218	408	"overlap"	0
"101"	"4"	7621919	7622445	527	"*"	LH20_HO1_ol_merged__162	"GroupB_HO1_GroupA_LH20_peak_841"	"4"	7622018	7622272	255	"*"	42	2.64695	4.27282	0.24541	91	"includeFeature"	99
"102"	"4"	60405612	60406196	585	"*"	LH20_HO1_ol_merged__163	"GroupB_HO1_GroupA_LH20_peak_849"	"4"	60405612	60405850	239	"*"	44	2.66833	4.48071	0.40489	106	"includeFeature"	0
"103"	"4"	134734548	134734924	377	"*"	LH20_HO1_ol_merged__166	"GroupB_HO1_GroupA_LH20_peak_869"	"4"	134734660	134734924	265	"*"	35	2.20441	3.54773	0	88	"overlapStart"	0
"104"	"4"	146050443	146050896	454	"*"	LH20_HO1_ol_merged__167	"GroupB_HO1_GroupA_LH20_peak_877"	"4"	146050532	146050771	240	"*"	42	2.52269	4.269	0.24541	51	"includeFeature"	89
"105"	"5"	14989054	14989425	372	"*"	LH20_HO1_ol_merged__169	"GroupB_HO1_GroupA_LH20_peak_895"	"5"	14989054	14989335	282	"*"	43	1.57029	4.34249	0.29557	163	"includeFeature"	0
"106"	"5"	15511367	15511980	614	"*"	LH20_HO1_ol_merged__171	"GroupB_HO1_GroupA_LH20_peak_899"	"5"	15511389	15511944	556	"*"	64	1.71757	6.43158	1.93103	57	"includeFeature"	22
"107"	"5"	15589347	15590096	750	"*"	LH20_HO1_ol_merged__174	"GroupB_HO1_GroupA_LH20_peak_903"	"5"	15589397	15589826	430	"*"	86	2.25527	8.65138	3.98155	270	"includeFeature"	50
"108"	"5"	15597722	15598349	628	"*"	LH20_HO1_ol_merged__175	"GroupB_HO1_GroupA_LH20_peak_904"	"5"	15597722	15598349	628	"*"	82	2.02431	8.27501	3.62458	339	"overlap"	0
"109"	"5"	15613818	15614165	348	"*"	LH20_HO1_ol_merged__176	"GroupB_HO1_GroupA_LH20_peak_905"	"5"	15613872	15614114	243	"*"	50	1.66798	5.09224	0.83441	203	"includeFeature"	51
"110"	"5"	15625921	15626273	353	"*"	LH20_HO1_ol_merged__177	"GroupB_HO1_GroupA_LH20_peak_906"	"5"	15625921	15626248	328	"*"	37	1.67605	3.76596	0	128	"includeFeature"	0
"111"	"5"	28071911	28073102	1192	"*"	LH20_HO1_ol_merged__179	"GroupB_HO1_GroupA_LH20_peak_913"	"5"	28071911	28072236	326	"*"	47	2.6663	4.79259	0.59658	265	"includeFeature"	0
"111"	"5"	28071911	28073102	1192	"*"	LH20_HO1_ol_merged__179	"GroupB_HO1_GroupA_LH20_peak_914"	"5"	28072627	28073102	476	"*"	68	3.14395	6.81968	2.273	398	"overlapStart"	0
"112"	"5"	30887817	30888729	913	"*"	LH20_HO1_ol_merged__180	"GroupB_HO1_GroupA_LH20_peak_917"	"5"	30887817	30888549	733	"*"	59	3.11406	5.92962	1.48513	605	"includeFeature"	0
"113"	"5"	65391015	65391476	462	"*"	LH20_HO1_ol_merged__182	"GroupB_HO1_GroupA_LH20_peak_934"	"5"	65391015	65391296	282	"*"	65	3.26976	6.52413	2.00383	148	"includeFeature"	0
"114"	"5"	65391603	65392369	767	"*"	LH20_HO1_ol_merged__183	"GroupB_HO1_GroupA_LH20_peak_935"	"5"	65391603	65392098	496	"*"	65	3.26976	6.52413	2.00383	424	"includeFeature"	0
"115"	"5"	68434311	68434720	410	"*"	LH20_HO1_ol_merged__184	"GroupB_HO1_GroupA_LH20_peak_936"	"5"	68434347	68434720	374	"*"	59	3.11406	5.92962	1.48513	214	"overlapStart"	0
"116"	"5"	88554806	88555271	466	"*"	LH20_HO1_ol_merged__186	"GroupB_HO1_GroupA_LH20_peak_939"	"5"	88554955	88555191	237	"*"	49	2.72943	4.95711	0.72668	160	"includeFeature"	80
"117"	"5"	92972877	92973462	586	"*"	LH20_HO1_ol_merged__187	"GroupB_HO1_GroupA_LH20_peak_943"	"5"	92973094	92973462	369	"*"	37	2.49125	3.7663	0	12	"overlapStart"	0
"118"	"5"	113771503	113771852	350	"*"	LH20_HO1_ol_merged__188	"GroupB_HO1_GroupA_LH20_peak_955"	"5"	113771514	113771790	277	"*"	73	3.34183	7.36915	2.77624	218	"includeFeature"	11
"119"	"5"	114443407	114444011	605	"*"	LH20_HO1_ol_merged__189	"GroupB_HO1_GroupA_LH20_peak_958"	"5"	114443615	114444011	397	"*"	99	3.64434	9.9218	5.20316	272	"overlapStart"	0
"120"	"5"	115489454	115490454	1001	"*"	LH20_HO1_ol_merged__190	"GroupB_HO1_GroupA_LH20_peak_959"	"5"	115489485	115490454	970	"*"	84	3.73687	8.42194	3.76193	750	"overlapStart"	0
"121"	"5"	123543398	123544308	911	"*"	LH20_HO1_ol_merged__191	"GroupB_HO1_GroupA_LH20_peak_965"	"5"	123543398	123544307	910	"*"	53	2.1899	5.36469	1.02059	825	"includeFeature"	0
"122"	"5"	125384292	125385527	1236	"*"	LH20_HO1_ol_merged__192	"GroupB_HO1_GroupA_LH20_peak_969"	"5"	125384446	125384908	463	"*"	66	3.16086	6.66123	2.13051	245	"includeFeature"	154
"122"	"5"	125384292	125385527	1236	"*"	LH20_HO1_ol_merged__192	"GroupB_HO1_GroupA_LH20_peak_970"	"5"	125385143	125385415	273	"*"	40	2.47719	4.01248	0.13003	34	"includeFeature"	112
"123"	"5"	125388380	125389710	1331	"*"	LH20_HO1_ol_merged__193	"GroupB_HO1_GroupA_LH20_peak_971"	"5"	125389091	125389710	620	"*"	105	3.62109	10.58887	5.85149	526	"overlapStart"	0
